0,1,2,3,4,5,6,7,8,9,class_numeric
-4.0525255,2.0235906,5.1560183,6.4749775,5.667185,5.0221863,4.4981,5.7489915,2.5320995,7.832589,4
-4.067414,2.0380676,5.1468782,6.5177937,5.706993,5.003824,4.4956746,5.7477717,2.5132523,7.8714123,5
12.379197,8.195084,4.6615133,4.9587064,4.0945597,4.0558276,6.57618,8.0635805,2.680665,8.503655,0
12.245747,8.16509,4.401227,5.076047,4.0633698,3.9502296,6.858119,8.220181,2.7775886,8.574463,1
12.245474,7.713928,4.236931,4.8486924,3.991835,3.7820294,6.9289255,8.040788,2.9236743,8.257398,2
12.250484,7.633639,4.187891,4.8113294,3.9670854,3.7369213,6.9653893,8.016563,2.95721,8.201108,3
12.325561,8.078154,4.408656,5.040421,4.049717,3.99057,6.8165903,8.200388,2.7001786,8.4935,4
12.21923,7.9529724,4.3260765,4.9795074,4.0543866,3.9131076,6.870571,8.155601,2.797467,8.396872,5
-2.8361712,3.0520735,6.487245,5.4904113,5.9454703,4.2306128,5.3878202,5.0010037,2.9122434,6.8726344,0
-2.6637633,3.1502314,6.5826187,5.505462,5.99119,4.154674,5.4523654,4.937659,2.948898,6.859908,1
0.46443406,2.1517234,7.1590185,3.7389884,4.4701858,3.9357238,5.3428164,6.36614,3.5553355,5.5780644,2
0.53878194,2.1310077,7.149647,3.7250683,4.43331,3.949346,5.364571,6.4185166,3.572894,5.543127,3
-2.3565488,3.174711,6.430952,5.754479,6.029027,4.2926106,5.4018455,4.8604727,2.8525321,7.099151,4
-0.40259197,2.4253876,6.407056,5.2511525,5.6041193,3.9799585,4.997289,5.8240438,2.82223,6.555933,5
13.439537,0.5596809,3.4654062,3.1486256,4.0392904,4.645685,5.1158996,8.569971,2.497636,3.8626335,0
13.430055,0.6999042,3.536466,3.325943,3.7911847,4.477269,5.154315,8.306337,2.4033465,3.8510885,1
10.841357,0.2875805,5.3312654,3.3978062,4.008397,4.3331914,5.3169937,8.117288,3.2440126,4.8188043,2
10.935053,0.36588836,5.188492,3.4898505,3.999326,4.36528,5.243262,8.040704,3.1354601,4.6872272,3
13.396296,0.58662975,3.3721526,3.2769396,4.059769,4.62532,5.0290008,8.356393,2.4665508,3.7179344,4
12.6804905,0.8013252,3.7838914,4.298618,3.497114,4.257472,4.964254,7.1502604,2.3510075,3.4397001,5
-2.258771,2.7096791,6.54684,5.2540665,5.8476825,3.9433968,5.187825,5.4355574,2.935896,6.5168376,0
-2.6063657,3.1725295,6.63196,5.4859233,6.004147,4.107498,5.473096,4.9362597,2.9712079,6.8266697,1
0.47822064,2.1287613,7.1855283,3.6945882,4.4285564,3.9489596,5.355998,6.4003444,3.5920377,5.550521,2
0.51376617,2.1227956,7.189261,3.6849892,4.4161596,3.9699202,5.345793,6.427255,3.6001284,5.553746,3
-1.1323541,2.6936553,7.151685,4.257585,5.311316,3.6703937,5.396573,5.7653494,3.2835565,5.8129115,4
-0.19811368,2.3620594,6.6063066,4.7815886,5.2966604,3.9400806,5.1034923,5.978941,3.002526,6.2215786,5
10.557424,0.4603301,5.236842,3.6616259,4.0273232,4.401393,5.1963935,7.8762,3.1147003,4.7005553,0
13.40887,0.50207925,3.3949049,3.1460745,4.1514606,4.717673,5.04767,8.541734,2.531799,3.7915955,1
11.002092,0.24079336,5.2280536,3.3644695,4.012389,4.3214192,5.3436933,8.185241,3.1875088,4.7275515,2
10.938058,0.3557086,5.198946,3.4774966,4.0206633,4.3678727,5.2532144,8.069312,3.1428885,4.706637,3
13.466224,0.9734689,3.494036,3.6159637,3.5189402,4.2090955,5.1698127,7.872409,2.2551508,3.7611291,4
10.515142,0.5092499,5.2671995,3.657906,3.8222907,4.386307,5.1337123,7.701698,3.1531963,4.7161593,5
-2.041489,2.2683082,6.399953,4.8390627,5.50263,4.182016,4.949398,5.834622,2.828631,6.278329,0
-2.66898,3.175588,6.5987086,5.4846015,5.981916,4.158691,5.4793787,4.906706,2.954642,6.859572,1
0.37154576,2.18297,7.1642785,3.74716,4.503861,3.9006104,5.3541894,6.330159,3.5505197,5.577501,2
0.5681632,2.1749165,7.2412825,3.6189702,4.4449115,4.0440273,5.2883277,6.503701,3.661858,5.60738,3
-2.4754884,3.2681377,6.6395764,5.5353923,6.0049086,4.1776786,5.5271707,4.8310914,2.9620314,6.910508,4
-0.21885443,2.3418684,6.5059066,4.9449434,5.4062824,3.9672167,5.048237,5.9501996,2.9251003,6.3366904,5
13.4279175,0.55313385,3.4663699,3.1466324,4.05163,4.6521735,5.1105285,8.5637865,2.5015693,3.8589094,0
13.3687105,0.8118306,3.5534866,3.5493836,3.6366,4.343193,5.140327,8.001408,2.3293915,3.768577,1
10.75306,0.32712188,5.33862,3.4460912,4.0053535,4.358756,5.2774963,8.064718,3.2313716,4.815349,2
10.613001,0.4214755,5.3211994,3.564734,4.0059123,4.432637,5.1710877,7.979733,3.1688218,4.812668,3
13.276221,0.50690126,3.095961,3.3655977,4.418895,4.765904,4.776402,8.135704,2.5165486,3.3822773,4
12.534162,0.8042734,3.7590222,4.342902,3.6477826,4.280225,4.8971434,7.0491548,2.376775,3.3636975,5
13.036781,1.3245817,3.4861767,4.5105786,3.3322282,3.9180098,4.9431777,6.684262,2.0644577,3.2889333,0
-2.5883255,3.2015905,6.6421733,5.496042,6.0103073,4.1159196,5.49163,4.90698,2.9734263,6.842318,1
0.34277743,2.184326,7.185764,3.7353172,4.509678,3.9042063,5.3606257,6.330267,3.5721343,5.5736427,2
0.5038546,2.120239,7.1692667,3.7108018,4.4264584,3.953547,5.358421,6.406047,3.58042,5.549174,3
-2.2188563,3.1544285,6.585108,5.5044336,5.93373,4.1888695,5.4466023,4.950726,2.9338684,6.888668,4
-0.31717536,2.3893712,6.609413,4.7917166,5.327644,3.947432,5.0992703,5.951376,2.9970973,6.235863,5
13.43937,0.62677276,3.4815636,3.240581,3.9324467,4.564402,5.1236277,8.445728,2.4494307,3.8399236,0
13.423344,0.76156694,3.514509,3.4683564,3.7047865,4.402786,5.1417894,8.09647,2.3639448,3.79631,1
10.989754,0.25770944,5.1788955,3.4312499,3.9715009,4.3839765,5.2767353,8.168793,3.1237018,4.6608787,2
10.993958,0.28529853,5.212797,3.4029863,4.0240393,4.337,5.311569,8.146125,3.171801,4.7167416,3
13.031069,0.55782896,3.3357728,3.6073709,4.200067,4.629515,4.8350506,7.8888288,2.4829683,3.4294953,4
12.527454,0.7283222,3.7012453,4.297926,3.74112,4.3584857,4.850522,7.1259036,2.4160635,3.3220587,5
-2.0269864,2.2195845,6.418798,4.7232795,5.4200296,4.193139,4.9420767,5.8973594,2.848891,6.2062225,0
-2.6870089,3.0942004,6.5177836,5.540434,5.982298,4.1786046,5.4013953,4.978546,2.920271,6.8887773,1
-0.16830832,2.333755,7.203935,3.8953059,4.7476225,3.8276641,5.3506103,6.1543365,3.5000455,5.6605353,2
0.63809186,2.1399465,7.0476885,3.831192,4.47445,3.9663913,5.331246,6.3986955,3.4775279,5.608933,3
-2.460885,3.1464005,6.434729,5.698013,6.004529,4.2840753,5.395277,4.892507,2.8627996,7.0551906,4
-0.13629906,2.226834,6.317978,5.1876726,5.5987506,3.9938824,4.9364686,5.9569697,2.7778192,6.4751997,5
2.2178469,1.4852389,6.176781,4.404918,4.8265843,4.591133,4.84764,6.245025,2.7647786,5.8204875,0
2.230201,1.471274,6.16301,4.4166665,4.837986,4.605496,4.8335204,6.2334495,2.75058,5.8307977,1
2.232388,1.4707614,6.163628,4.415157,4.8365808,4.605765,4.833933,6.234656,2.751163,5.8296905,2
2.231893,1.4743282,6.167503,4.4111733,4.8322906,4.601963,4.83809,6.239206,2.7553246,5.8257184,3
2.2458434,1.4603713,6.1533337,4.42234,4.842743,4.6158195,4.824058,6.2284813,2.7413232,5.834565,4
2.2379405,1.4625483,6.1540275,4.426627,4.848043,4.6142063,4.824334,6.2232356,2.7414258,5.841239,5
-2.434598,2.0458434,5.982226,5.0676,5.4466977,4.4296694,4.750357,5.907285,2.6762974,6.529996,0
-3.1280878,2.1411393,5.7662315,5.379673,5.5348396,4.628068,4.742071,5.703247,2.6166644,6.8559947,1
-0.45507616,2.3822558,6.974114,3.8592737,5.046623,3.8456209,5.3564715,6.0014973,3.2095587,5.5244403,2
-0.36136258,2.351356,6.928477,3.894131,5.0213847,3.8709693,5.351757,6.0225935,3.1963413,5.5437884,3
-3.0748827,2.0806565,5.7965374,5.2711873,5.480384,4.606077,4.7261333,5.771405,2.6251056,6.7560353,4
-3.1125977,2.1480687,5.7863383,5.373985,5.5365677,4.6146555,4.7509904,5.700732,2.6233969,6.8490195,5
12.150028,0.6937076,4.030159,4.409503,3.6164153,4.3055387,4.9143367,6.994051,2.4789402,3.4529576,0
13.342574,0.50805575,3.0750203,3.2895935,4.4505873,4.7861466,4.7914863,8.236383,2.5330896,3.3849568,1
10.516133,0.41872615,5.3747997,3.522235,3.93281,4.362406,5.2139597,7.8965373,3.2433536,4.829817,2
10.970844,0.36423174,5.1630154,3.4991734,3.9809828,4.3520093,5.2417107,8.019223,3.1200273,4.6581507,3
13.366248,0.44686627,3.112105,3.2304773,4.4277825,4.840647,4.7763896,8.294373,2.5434594,3.4526877,4
13.428593,0.43193528,3.1115,3.1104424,4.4812245,4.8657684,4.8731823,8.452764,2.583445,3.5122879,5
-2.391754,2.1144009,6.177737,4.8882403,5.437175,4.334756,4.838276,5.8938994,2.7513454,6.365087,0
-2.9330478,2.6526217,5.91734,5.8656473,5.931506,4.512655,5.017331,5.2576404,2.6947958,7.2379055,1
-0.96743035,2.4509876,7.11254,3.8496907,5.091942,3.7876682,5.364437,5.9476686,3.2598372,5.5298405,2
-0.68873125,2.4312823,7.048914,3.8539984,5.075216,3.804877,5.359602,5.9700594,3.2307305,5.5245814,3
-3.106674,2.427582,5.8377714,5.6483927,5.7339554,4.6016374,4.8858895,5.447942,2.6429026,7.078389,4
-2.9142325,2.465931,5.868683,5.722287,5.7949634,4.53971,4.909041,5.4323025,2.653066,7.11432,5
12.237605,0.68488556,3.9067504,4.527463,3.634444,4.3492527,4.860806,6.8920827,2.4272485,3.3242712,0
13.4330635,0.44083735,3.1356182,3.1190777,4.448696,4.8516774,4.877027,8.435839,2.572677,3.5192628,1
10.5097065,0.40623465,5.4034333,3.5081565,3.9633353,4.3717966,5.2176313,7.9385023,3.255855,4.8639336,2
10.342695,0.46151897,5.435821,3.6006973,3.9613194,4.436642,5.140368,7.8723807,3.229471,4.9049373,3
13.404489,0.4811061,3.2753592,3.066362,4.3634953,4.7906575,4.968535,8.557235,2.5374417,3.6430142,4
13.421918,0.41955614,3.3292003,2.957582,4.3975215,4.858448,5.0369687,8.727142,2.6057792,3.7573857,5
-0.3860908,2.4061937,6.7479463,4.5228925,5.204825,3.9217002,5.187421,5.9781194,3.0911434,6.042192,0
-3.0065668,2.6439984,5.921303,5.8043933,5.887311,4.5344167,4.995629,5.2742925,2.6947982,7.1908145,1
-1.0856695,2.5314846,7.169235,3.9422975,5.143631,3.7344575,5.379565,5.897969,3.2933476,5.6014605,2
-0.5375458,2.410842,7.007186,3.9248784,5.0655856,3.825641,5.3403463,5.996943,3.2227907,5.5855646,3
-2.9975688,2.7246895,6.205091,5.5179806,5.825094,4.393994,5.137798,5.256823,2.7855868,6.9233556,4
-2.9730299,2.603928,5.940021,5.7745223,5.853671,4.5274825,4.995454,5.306428,2.6804144,7.1585054,5
12.522884,0.8282889,3.688089,4.446612,3.7097228,4.2880483,4.8536797,6.9183874,2.3452306,3.258246,0
13.453894,0.45380226,2.995969,3.1871657,4.5459104,4.872507,4.792505,8.340296,2.5824983,3.3754869,1
10.459928,0.4197778,5.4111385,3.5273237,3.949483,4.374835,5.2066226,7.904375,3.255887,4.8652186,2
10.2966175,0.49100113,5.420257,3.639278,3.9481602,4.457383,5.1133204,7.8288646,3.2042432,4.8892,3
13.496587,0.41656423,3.0395179,3.0827107,4.547794,4.9064536,4.8460035,8.480715,2.606081,3.4580858,4
13.500534,0.41969648,3.0187745,3.0988348,4.565149,4.912204,4.8234053,8.447201,2.6054482,3.4284472,5
-2.440244,2.094915,6.214925,4.8056064,5.401536,4.33616,4.848091,5.918926,2.7687962,6.303731,0
-3.1037078,2.5612621,5.9377713,5.669719,5.813521,4.5479593,4.9808745,5.3464446,2.6863272,7.090825,1
-1.160992,2.4049551,7.106304,3.7936327,5.0883346,3.821409,5.345508,5.9522586,3.2378936,5.48127,2
-0.5351777,2.377413,7.008159,3.8353205,5.031325,3.8433673,5.361153,6.009073,3.2270892,5.515642,3
-3.070519,2.700486,6.1517363,5.5387154,5.8227534,4.436243,5.11498,5.2659855,2.7659373,6.9538045,4
