score,data_unit,n,k,subcode,sub2code,reducer_name,kernel_name
0.9813953488372092,AHpf,8,28,w2,reduce,pca,
0.9794019933554817,AHpf,8,29,w2,reduce,pca,
0.9853820598006644,AHpf,8,30,w2,reduce,pca,
0.9807308970099667,AHpf,8,31,w2,reduce,pca,
0.9780730897009967,AHpf,9,1,w2,reduce,pca,
0.9827242524916944,AHpf,9,2,w2,reduce,pca,
0.9847176079734219,AHpf,9,3,w2,reduce,pca,
0.9827242524916944,AHpf,9,4,w2,reduce,pca,
0.987375415282392,AHpf,9,5,w2,reduce,pca,
0.9880398671096345,AHpf,9,6,w2,reduce,pca,
0.9827242524916944,AHpf,9,7,w2,reduce,pca,
0.9867109634551495,AHpf,9,8,w2,reduce,pca,
0.9867109634551495,AHpf,9,9,w2,reduce,pca,
0.9867109634551495,AHpf,9,10,w2,reduce,pca,
0.9833887043189369,AHpf,9,11,w2,reduce,pca,
0.9813953488372092,AHpf,9,12,w2,reduce,pca,
0.9900332225913622,AHpf,9,13,w2,reduce,pca,
0.9847176079734219,AHpf,9,14,w2,reduce,pca,
0.9853820598006644,AHpf,9,15,w2,reduce,pca,
0.9840531561461794,AHpf,9,16,w2,reduce,pca,
0.9813953488372092,AHpf,9,17,w2,reduce,pca,
0.986046511627907,AHpf,9,18,w2,reduce,pca,
0.9813953488372092,AHpf,9,19,w2,reduce,pca,
0.9774086378737542,AHpf,9,20,w2,reduce,pca,
0.9847176079734219,AHpf,9,21,w2,reduce,pca,
0.9820598006644519,AHpf,9,22,w2,reduce,pca,
0.986046511627907,AHpf,9,23,w2,reduce,pca,
0.9853820598006644,AHpf,9,24,w2,reduce,pca,
0.9840531561461794,AHpf,9,25,w2,reduce,pca,
0.9853820598006644,AHpf,9,26,w2,reduce,pca,
0.9840531561461794,AHpf,9,27,w2,reduce,pca,
0.9813953488372092,AHpf,9,28,w2,reduce,pca,
0.9813953488372092,AHpf,9,29,w2,reduce,pca,
0.9820598006644519,AHpf,9,30,w2,reduce,pca,
0.9813953488372092,AHpf,9,31,w2,reduce,pca,
0.9847176079734219,AHpf,10,1,w2,reduce,pca,
0.9780730897009967,AHpf,10,2,w2,reduce,pca,
0.9847176079734219,AHpf,10,3,w2,reduce,pca,
0.9833887043189369,AHpf,10,4,w2,reduce,pca,
0.9847176079734219,AHpf,10,5,w2,reduce,pca,
0.986046511627907,AHpf,10,6,w2,reduce,pca,
0.9853820598006644,AHpf,10,7,w2,reduce,pca,
0.9827242524916944,AHpf,10,8,w2,reduce,pca,
0.9880398671096345,AHpf,10,9,w2,reduce,pca,
0.9833887043189369,AHpf,10,10,w2,reduce,pca,
0.9840531561461794,AHpf,10,11,w2,reduce,pca,
0.9820598006644519,AHpf,10,12,w2,reduce,pca,
0.9827242524916944,AHpf,10,13,w2,reduce,pca,
0.9847176079734219,AHpf,10,14,w2,reduce,pca,
0.9813953488372092,AHpf,10,15,w2,reduce,pca,
