0,1,2,3,4,5,class_numeric
11.415942,12.469279,3.3931751,7.7659883,2.9270854,14.761843,1
11.403341,12.480281,3.380654,7.7798376,2.9331856,14.777936,1
11.38833,12.483933,3.364383,7.781797,2.927223,14.775331,1
-0.72337776,6.5915275,4.7870855,2.4023294,5.7860394,5.1715565,2
-0.738745,6.6190004,4.8121066,2.383426,5.7877827,5.1908545,2
-0.7384742,6.581237,4.794694,2.384973,5.7739263,5.163346,2
-0.7520548,6.590174,4.8084397,2.36829,5.7804213,5.1747746,2
-0.7565942,6.6151204,4.821362,2.363322,5.80738,5.19662,2
-0.7392274,6.5850806,4.7954445,2.3838115,5.7768483,5.1663013,2
-0.7358902,6.581026,4.793495,2.388079,5.7753057,5.1639037,2
-0.7528843,6.4793773,4.7858095,2.3744957,5.7040396,5.0922213,2
-0.7688331,6.395565,4.784205,2.3654032,5.6437864,5.0389714,2
-0.7397955,6.55398,4.7931166,2.387088,5.7545257,5.147058,2
-0.74284875,6.514596,4.788023,2.3853326,5.728144,5.117072,2
-0.71370184,6.5484304,4.7712297,2.4135444,5.764406,5.140108,2
12.9756975,3.2995696,7.413365,-4.092867,4.302222,3.1010308,0
12.998848,3.2484283,7.400313,-4.0601816,4.2485948,3.1746888,0
13.010184,3.2626166,7.3860235,-4.0773706,4.25339,3.1647203,0
13.004111,3.1963828,7.4477572,-4.0103717,4.204505,3.2259216,0
13.020643,3.2177172,7.4120154,-4.0287213,4.222847,3.2070916,0
13.039884,3.17909,7.431361,-3.980215,4.1974154,3.2382696,0
13.06825,3.150773,7.4885516,-3.9227529,4.2099986,3.2448885,0
13.059805,3.0922773,7.4989305,-3.875129,4.144215,3.309987,0
13.075864,3.0633688,7.5296273,-3.8450913,4.121655,3.3369417,0
13.099881,3.048688,7.567077,-3.8422906,4.1204805,3.3518238,0
13.060162,3.0654635,7.5278587,-3.8446953,4.1194086,3.328241,0
13.045598,3.1111047,7.505223,-3.8860526,4.1417046,3.2837923,0
7.6099176,5.5315404,5.597018,-6.9362926,8.284197,5.3975415,1
