0,1,2,3,4,5,6,7,active_hand,class_numeric
0.5481172,0.7635089,4.786619,3.1307507,-0.9799317,-2.628626,3.4752986,-0.5214047,0,0
8.72012,-0.33820227,7.55013,3.8081648,-2.935451,15.916494,6.0216327,0.28929335,1,0
0.51980406,0.7341123,4.818526,3.1018038,-1.0110095,-2.597575,3.4407306,-0.5225279,0,0
8.733833,-0.325239,7.5433145,3.7690148,-2.8961103,15.909757,6.028956,0.29379347,1,0
0.5552766,0.7625467,4.7846107,3.1052792,-0.98173034,-2.6074116,3.4620757,-0.51875,0,0
7.8331738,-2.9641993,6.446903,1.6557779,-0.7558543,14.192819,6.5629625,4.7344337,1,1
0.45322323,0.7544294,4.9097323,3.368181,-0.89025974,-2.800515,3.4581485,-0.50806975,0,1
7.83113,-2.9868963,6.451596,1.6494665,-0.7437626,14.194144,6.5695834,4.7608504,1,1
0.46175545,0.75849915,4.8983426,3.362071,-0.890844,-2.7980974,3.465911,-0.5089678,0,1
7.858454,-3.005494,6.4730983,1.622609,-0.7208028,14.185019,6.5954123,4.7785544,1,1
0.45715693,0.75809216,4.9039483,3.372104,-0.8862464,-2.805146,3.4644709,-0.50805956,0,1
7.914885,-3.2460895,6.4800315,1.5569375,-0.66304415,14.178661,6.680421,5.038298,1,1
0.43525085,0.75141096,4.932803,3.3905873,-0.88119745,-2.813408,3.4438162,-0.5048454,0,1
7.922805,-3.290627,6.479866,1.5484606,-0.6545296,14.177675,6.693279,5.0858984,1,1
0.44781008,0.759477,4.9158764,3.3978436,-0.87430656,-2.8238497,3.462919,-0.5060742,0,1
7.944713,-3.318819,6.4677734,1.5262866,-0.65427893,14.174384,6.7190285,5.1130795,1,1
0.43797258,0.7548061,4.9291363,3.4042718,-0.8739746,-2.8263025,3.4528034,-0.5048854,0,1
7.9387503,-3.3185587,6.4739833,1.5322082,-0.65174705,14.176508,6.712782,5.1138954,1,1
0.4441825,0.7605688,4.9158087,3.4139516,-0.8609074,-2.8377922,3.4690268,-0.50298303,0,1
7.9684176,-3.3713276,6.4652834,1.5017575,-0.6450332,14.174066,6.7493606,5.167243,1,1
0.44015208,0.756964,4.926378,3.4051654,-0.8719871,-2.8272684,3.4544837,-0.5050688,0,1
8.010651,-3.4111977,6.4494534,1.4588143,-0.6455924,14.172916,6.797589,5.2048826,1,1
0.41135448,0.73255897,4.961251,3.372943,-0.89891374,-2.7922192,3.413236,-0.50135165,0,1
8.005165,-3.414327,6.4534082,1.4644514,-0.64175653,14.172085,6.7918158,5.2089033,1,1
0.44457597,0.7551727,4.9203644,3.3872628,-0.8808292,-2.8136969,3.453989,-0.5060475,0,1
8.004957,-3.4036438,6.4529786,1.4644467,-0.6501863,14.174988,6.792647,5.1968465,1,1
0.4373071,0.75314105,4.929949,3.3951213,-0.8781749,-2.818097,3.447812,-0.50489163,0,1
8.02061,-3.4162662,6.4420433,1.449168,-0.6482703,14.173027,6.8064,5.2091966,1,1
0.43980116,0.7544691,4.926261,3.3985302,-0.8762595,-2.8220134,3.4535768,-0.5051551,0,1
4.0773478,0.09160158,5.7983675,13.568507,0.91028154,10.499172,6.095103,1.53559,0,0
3.6868434,11.917279,-0.059058156,5.829779,-1.1206825,8.498055,1.6922705,5.9978113,1,0
3.7165344,11.931963,-0.062064625,5.807914,-1.1487972,8.51494,1.6945034,6.0156407,1,0
4.075871,0.08340719,5.7947984,13.569669,0.9112044,10.498336,6.0993595,1.5397182,0,0
3.7372453,11.941697,-0.057455413,5.7950625,-1.170732,8.523608,1.689325,6.0268774,1,0
4.103339,0.107496984,5.821163,13.567177,0.9162709,10.509353,6.073704,1.5139214,0,0
3.7243166,11.93787,-0.07456154,5.7971177,-1.1532654,8.525096,1.7066495,6.0258083,1,0
4.076146,0.08406033,5.7950926,13.570076,0.9116607,10.498247,6.0990705,1.5393982,0,0
3.7364562,11.95506,-0.14058335,5.757656,-1.1502821,8.564483,1.7713464,6.0642858,1,0
4.0742826,0.07051594,5.788915,13.560511,0.9029028,10.504212,6.110582,1.5496502,0,0
3.7534935,11.989025,-0.18168296,5.7148542,-1.1520417,8.603911,1.8118589,6.1059604,1,0
4.070761,0.07491783,5.789406,13.563855,0.9048285,10.500678,6.1058536,1.5459641,0,0
3.7663214,11.998806,-0.19565894,5.698084,-1.1620305,8.61777,1.8252369,6.1199136,1,0
