0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,class_numeric
10.4654455,12.019863,11.639645,-1.7875544,1.5803587,2.8035934,0.5786598,1.1946472,4.6488395,7.832742,8.822573,5.0941644,2.6133375,1.5596408,7.2300863,3.555085,4.389954,6.058138,7.8980694,5.4584823,3.9481602,3.7724946,6.2002554,5.575647,3.0343049,3.9729614,4.7931614,4.9192677,6.4831247,4.410259,0
10.491145,12.033546,11.66388,-1.8224872,1.6037987,2.8259702,0.5702131,1.1995629,4.6473794,7.8374014,8.833325,5.124359,2.6140032,1.5597247,7.228418,3.5544517,4.3660383,6.0358887,7.897263,5.435079,3.933137,3.7831929,6.200477,5.5479927,3.0399418,3.960145,4.7637286,4.911747,6.4918623,4.4178734,0
10.524754,12.069079,11.703556,-1.799429,1.6463057,2.8193543,0.52315736,1.1305734,4.7300787,8.00696,8.883451,5.133002,2.547343,1.5923748,7.2293425,3.5222065,4.3582854,6.0429015,7.9847627,5.392614,3.9893153,3.8595676,6.172069,5.520102,3.0277698,4.0076375,4.8181705,5.0044484,6.3887897,4.318036,0
10.539997,12.08382,11.723816,-1.7887473,1.6681323,2.8206356,0.5013008,1.10322,4.75845,8.050223,8.903219,5.14002,2.5209954,1.6064383,7.2275558,3.508584,4.351083,6.0435076,8.013942,5.370551,4.012652,3.8875518,6.160803,5.5054493,3.0246952,4.0279975,4.841035,5.034365,6.356873,4.2868595,0
10.547887,12.088454,11.723267,-1.8127137,1.6652336,2.8350828,0.5207873,1.134301,4.726744,8.024074,8.897081,5.1530557,2.5480847,1.594665,7.219958,3.5178318,4.338936,6.0270247,7.984908,5.3750653,3.9826865,3.8689024,6.179518,5.4973745,3.027111,3.9999716,4.80965,5.001522,6.3907294,4.3201995,0
10.534934,12.07876,11.716433,-1.7937143,1.660072,2.820399,0.50965357,1.1130084,4.748932,8.044391,8.896143,5.138144,2.5306227,1.601448,7.2282743,3.5133975,4.3531566,6.042912,8.004791,5.3787284,4.002832,3.878731,6.1645737,5.5103626,3.0257835,4.0195875,4.8307815,5.0248976,6.36612,4.2961173,0
10.534181,12.077509,11.715185,-1.7950507,1.6586733,2.8205507,0.5116356,1.1157068,4.7459483,8.03841,8.894429,5.1379023,2.5332007,1.6000566,7.22825,3.5147562,4.3536124,6.042502,8.001598,5.3801003,4.000619,3.8757696,6.1660123,5.5111146,3.026155,4.017542,4.8286686,5.021622,6.369709,4.299638,0
10.541698,12.081099,11.723323,-1.7999463,1.6654348,2.827542,0.5093318,1.1140934,4.74631,8.050905,8.896406,5.1446233,2.5314293,1.599468,7.225775,3.5144396,4.3462467,6.035761,8.004073,5.3728275,3.99917,3.879978,6.1681714,5.5037985,3.0283465,4.015095,4.8249974,5.022247,6.3682475,4.298059,0
10.333697,11.821084,11.5659485,-1.875146,1.495964,2.8879755,0.6427224,1.3212739,4.4518876,7.164345,8.587963,5.140686,2.778746,1.4493986,7.25317,3.68896,4.40462,6.027967,7.606681,5.5473495,3.767633,3.5536036,6.271777,5.604374,3.1319134,3.8741317,4.61954,4.6405015,6.7685003,4.71818,1
10.333526,11.823287,11.5737295,-1.855396,1.4863774,2.8725061,0.65695494,1.3296278,4.445272,7.1959467,8.591741,5.1425576,2.7674868,1.4567503,7.2373366,3.679617,4.4057136,6.0291114,7.611941,5.556055,3.7700462,3.5689042,6.286984,5.608305,3.113272,3.8689919,4.617271,4.65392,6.755075,4.708852,1
10.334089,11.820436,11.568824,-1.8737442,1.4941154,2.886849,0.6457017,1.3239608,4.448804,7.1691236,8.58746,5.143857,2.7763968,1.4507972,7.250391,3.6878495,4.4039545,6.0268397,7.6060095,5.548788,3.765867,3.5572755,6.2751245,5.603478,3.129578,3.8716936,4.616606,4.6417727,6.767121,4.7182894,1
10.3072605,11.80319,11.568732,-1.8569924,1.4813858,2.8743908,0.6570098,1.3342613,4.4316635,7.1178403,8.569045,5.154654,2.7706187,1.4561368,7.231439,3.6864974,4.4079127,6.029857,7.587442,5.5618243,3.754876,3.561032,6.298288,5.605549,3.1148508,3.866173,4.599405,4.6357093,6.7715406,4.734075,1
10.294033,11.786419,11.552774,-1.8776168,1.4783704,2.8907628,0.65238553,1.3384328,4.4264708,7.0591164,8.549157,5.1518807,2.7918239,1.4415612,7.2490773,3.7038326,4.409287,6.0309734,7.5645256,5.560106,3.7428076,3.5323563,6.2852683,5.6084695,3.1365743,3.8678002,4.592558,4.606913,6.7993984,4.7606645,1
10.279302,11.776461,11.546789,-1.8849875,1.4768035,2.8956468,0.6504131,1.3405305,4.420988,7.0126066,8.537287,5.155637,2.7977886,1.4389399,7.2520556,3.7094238,4.408629,6.0316634,7.5503945,5.5581512,3.7349992,3.5223148,6.284738,5.6074605,3.1424458,3.868931,4.5844245,4.5936227,6.8122597,4.776397,1
10.280195,11.780871,11.557711,-1.8792281,1.483207,2.8905506,0.6467884,1.3349763,4.420976,7.0301857,8.542678,5.165815,2.7869918,1.4484582,7.243063,3.7008905,4.406056,6.0288115,7.5559754,5.556264,3.736269,3.5343797,6.293384,5.5983944,3.1341789,3.8676474,4.5807056,4.603302,6.8027816,4.770119,1
10.19343,11.739315,11.531971,-1.8760719,1.4581169,2.882106,0.6576082,1.3516198,4.3964024,6.8431525,8.492963,5.1808515,2.7827268,1.4583,7.226617,3.7074661,4.4059668,6.0408635,7.5001955,5.556999,3.7109113,3.5235672,6.3067584,5.6062503,3.125208,3.8756921,4.5462255,4.5663753,6.8360114,4.8279953,1
10.000781,11.674474,11.475169,-1.8937312,1.4304557,2.864512,0.66712546,1.3602028,4.347767,6.3306117,8.4078665,5.1877084,2.7716117,1.4896754,7.1905503,3.7041602,4.3812447,6.054128,7.377101,5.526668,3.6750076,3.4954956,6.3312926,5.6168427,3.098279,3.8886037,4.4921227,4.494404,6.922077,4.969528,1
9.923445,11.618877,11.441138,-1.8793935,1.385212,2.862473,0.68319035,1.3966067,4.3411345,6.178145,8.340889,5.1885095,2.7945046,1.4737905,7.2034264,3.7305422,4.4017987,6.0717998,7.3228703,5.5368934,3.642207,3.459673,6.310568,5.635667,3.1166542,3.90617,4.454759,4.4392204,6.953551,5.020994,1
9.963331,11.634781,11.445499,-1.8851098,1.3963028,2.8689353,0.6809556,1.391517,4.345003,6.2649517,8.36401,5.1876693,2.7967067,1.4696014,7.208801,3.7296362,4.4006667,6.0705748,7.345435,5.541211,3.647674,3.4632301,6.310599,5.635105,3.1190012,3.9039826,4.4654064,4.4540415,6.9447875,4.99482,1
9.984721,11.651022,11.467556,-1.8795393,1.4113467,2.8697102,0.6610708,1.3721621,4.3604507,6.324261,8.376934,5.1864924,2.7876291,1.4731194,7.206803,3.7203772,4.398253,6.062727,7.3683243,5.5382614,3.6688285,3.4784698,6.313224,5.617721,3.115954,3.8912463,4.4887366,4.473935,6.9194207,4.9760695,1
8.341582,-0.63004935,6.1322412,-2.9361129,2.9782913,4.7931566,2.0626864,0.1886932,4.7893543,5.4173326,7.8677063,5.5459123,2.2181714,0.53563935,7.4289255,4.49675,3.9445448,5.68519,7.695002,5.041979,7.462043,4.995036,5.9451847,6.166356,2.3859646,4.6326,4.3922668,5.1710625,6.5773516,4.6822505,0
8.354034,-0.6438292,6.1117845,-2.8918939,2.9235356,4.782317,2.0279293,0.16958329,4.7093167,5.4361067,7.8885856,5.560409,2.2357564,0.5789851,7.4470925,4.479068,3.9399657,5.671429,7.7036138,5.065003,7.4314365,4.971109,5.9639425,6.1442556,2.3771305,4.602516,4.3794127,5.1392126,6.6429553,4.714147,0
