class_list,accuracy,data_unit,PH2,PH3,reducer,kernel,n,k
all-classes,0.6115058324496289,AHpf,True,True,kpca,sigmoid,3,5
all-classes,0.6117709437963945,AHpf,True,True,kpca,sigmoid,3,6
all-classes,0.6160657476139979,AHpf,True,True,kpca,sigmoid,3,7
all-classes,0.6146341463414634,AHpf,True,True,kpca,sigmoid,3,8
all-classes,0.6191940615058324,AHpf,True,True,kpca,sigmoid,3,9
all-classes,0.6195652173913043,AHpf,True,True,kpca,sigmoid,3,10
all-classes,0.6244432661717921,AHpf,True,True,kpca,sigmoid,3,11
all-classes,0.6222163308589608,AHpf,True,True,kpca,sigmoid,3,12
all-classes,0.6270413573700955,AHpf,True,True,kpca,sigmoid,3,13
all-classes,0.6229586426299045,AHpf,True,True,kpca,sigmoid,3,14
all-classes,0.6286320254506893,AHpf,True,True,kpca,sigmoid,3,15
all-classes,0.9627253446447508,AHpf,True,True,kpca,cosine,3,1
all-classes,0.9683457051961823,AHpf,True,True,kpca,cosine,3,2
all-classes,0.9751325556733829,AHpf,True,True,kpca,cosine,3,3
all-classes,0.9758218451749735,AHpf,True,True,kpca,cosine,3,4
all-classes,0.9764050901378579,AHpf,True,True,kpca,cosine,3,5
all-classes,0.9765111346765641,AHpf,True,True,kpca,cosine,3,6
all-classes,0.9762990455991516,AHpf,True,True,kpca,cosine,3,7
all-classes,0.9765111346765641,AHpf,True,True,kpca,cosine,3,8
all-classes,0.9768292682926829,AHpf,True,True,kpca,cosine,3,9
all-classes,0.9765641569459172,AHpf,True,True,kpca,cosine,3,10
all-classes,0.976458112407211,AHpf,True,True,kpca,cosine,3,11
all-classes,0.9766702014846236,AHpf,True,True,kpca,cosine,3,12
all-classes,0.9769883351007423,AHpf,True,True,kpca,cosine,3,13
all-classes,0.9767232237539767,AHpf,True,True,kpca,cosine,3,14
all-classes,0.9769353128313892,AHpf,True,True,kpca,cosine,3,15
all-classes,0.9722693531283139,AHpf,True,True,umap,None,3,1
all-classes,0.9775185577942735,AHpf,True,True,umap,None,3,2
all-classes,0.9791092258748675,AHpf,True,True,umap,None,3,3
all-classes,0.9800636267232238,AHpf,True,True,umap,None,3,4
all-classes,0.9807529162248144,AHpf,True,True,umap,None,3,5
all-classes,0.9808589607635206,AHpf,True,True,umap,None,3,6
all-classes,0.9812831389183457,AHpf,True,True,umap,None,3,7
all-classes,0.9813361611876988,AHpf,True,True,umap,None,3,8
all-classes,0.9812301166489926,AHpf,True,True,umap,None,3,9
all-classes,0.9812831389183457,AHpf,True,True,umap,None,3,10
all-classes,0.9810180275715801,AHpf,True,True,umap,None,3,11
all-classes,0.9810710498409332,AHpf,True,True,umap,None,3,12
all-classes,0.9811770943796394,AHpf,True,True,umap,None,3,13
all-classes,0.9807529162248144,AHpf,True,True,umap,None,3,14
all-classes,0.9807529162248144,AHpf,True,True,umap,None,3,15
all-classes,0.9715800636267232,AHpf,True,True,pca,None,4,1
all-classes,0.9757158006362673,AHpf,True,True,pca,None,4,2
all-classes,0.9787910922587487,AHpf,True,True,pca,None,4,3
all-classes,0.9794803817603394,AHpf,True,True,pca,None,4,4
all-classes,0.9798515376458112,AHpf,True,True,pca,None,4,5
all-classes,0.9793213149522799,AHpf,True,True,pca,None,4,6
all-classes,0.9796394485683987,AHpf,True,True,pca,None,4,7
all-classes,0.9798515376458112,AHpf,True,True,pca,None,4,8
all-classes,0.9798515376458112,AHpf,True,True,pca,None,4,9
