0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,class_numeric
15.234946,5.341282,5.6823497,6.3168945,1.583057,3.9039557,5.6118045,5.3519483,4.352186,4.4227242,6.542419,4.818496,3.4960136,4.532917,3.5213268,4.727206,5.2103553,5.83513,4.9668655,4.723785,5.687968,7.511708,7.2755356,3.5659485,5.9909344,1.0277737,5.394431,4.659677,4.2193866,0
15.17386,5.264744,5.5895057,6.3050113,1.5315883,3.995889,5.6033745,5.2719955,4.2776966,4.394291,6.5834203,4.730575,3.3924792,4.5896173,3.5325363,4.728197,5.161957,5.851636,4.9392815,4.659559,5.5693583,7.5734997,7.301408,3.5172,6.0268855,0.9914891,5.3144846,4.7369432,4.1633353,1
14.97973,5.305239,5.520179,6.303558,1.6479955,3.942546,5.7165174,5.3337083,4.351148,4.461781,6.541454,4.8305025,3.4453547,4.6751637,3.5778446,4.7085423,5.2652225,5.7934737,4.967967,4.7214775,5.558269,7.4350386,7.254404,3.5361698,6.0123487,1.032588,5.3224626,4.623356,4.1200833,2
1.1202306,5.1867247,5.26186,8.558037,3.7021952,3.5472898,5.5690713,5.4294434,5.8281946,4.483968,3.9834344,5.4346437,3.4786513,4.039439,5.088641,3.4903538,7.2804594,4.2960563,5.1091037,5.6537414,6.4216123,4.8358517,5.551652,4.7852654,3.6375659,3.804505,5.807269,3.3116822,4.8756537,0
1.1242443,5.173194,5.274585,8.546169,3.7002952,3.53508,5.556139,5.4346056,5.8152747,4.4680457,3.974514,5.4256577,3.4960139,4.023652,5.0754943,3.477207,7.2727766,4.3038945,5.100921,5.662885,6.4353848,4.8331213,5.5568347,4.7745824,3.6502938,3.796398,5.789358,3.300148,4.876103,1
4.337725,5.070629,5.383388,7.914125,3.78912,3.7714212,6.1253824,5.7086377,5.7150035,4.2550254,3.9675446,5.5050287,3.6113698,4.6949177,4.3888664,3.7095037,5.9041104,5.224913,5.17293,5.119996,6.4432497,4.7887483,5.755089,4.16465,4.3391337,3.2862294,5.559866,3.4794106,4.4629455,2
15.20201,5.41076,5.685748,6.287074,1.5897313,3.8215082,5.599712,5.4289374,4.346477,4.4111204,6.5342054,4.8534994,3.490055,4.529924,3.4881082,4.665511,5.2129607,5.768497,5.0113163,4.7876115,5.7118063,7.5043235,7.2817116,3.6363592,6.0222216,1.0576001,5.4442434,4.608625,4.1942053,0
15.10597,5.295797,5.606317,6.305701,1.5660652,3.9659967,5.6282916,5.3050694,4.314541,4.3994026,6.5587225,4.7723694,3.4276593,4.580632,3.5227847,4.709094,5.1879363,5.820314,4.9592686,4.694266,5.6022124,7.518199,7.2907977,3.5387921,6.016392,1.0169948,5.344653,4.6877613,4.1768346,1
14.8528,5.3091354,5.4463305,6.3014326,1.7158283,3.9307394,5.79407,5.3556333,4.3878617,4.5061088,6.517442,4.876962,3.4534378,4.753649,3.618844,4.6972313,5.324648,5.7644424,4.979478,4.73822,5.5136137,7.3645463,7.227827,3.5352306,6.007184,1.0588589,5.303633,4.568512,4.07263,2
1.5445162,4.669303,5.311185,7.9425673,3.699997,2.965357,5.3174467,5.6752295,5.6494536,4.121895,3.7136307,5.590946,3.8029191,3.5646262,4.6372485,3.046656,6.812816,4.4378257,4.5635676,6.065047,6.731524,5.0047946,6.001597,4.403742,3.9652534,3.469021,5.4619474,2.76796,5.0942245,0
1.619094,4.642876,5.3266068,7.902554,3.7098691,2.958355,5.3184195,5.6904974,5.633093,4.0855265,3.6867254,5.5906587,3.8193305,3.5714297,4.5907626,3.0371451,6.7427154,4.4825335,4.543517,6.058547,6.7474113,5.006922,6.015903,4.35398,3.9911425,3.4346275,5.4397683,2.764009,5.087738,1
4.112738,5.0290465,5.341796,7.84095,3.749559,3.746338,6.035162,5.6721425,5.632852,4.1598186,3.9529047,5.444323,3.6133642,4.6026692,4.3361406,3.6381662,5.840525,5.2058473,5.0520487,5.2041974,6.427503,4.8231225,5.8195553,4.1001744,4.3281755,3.3004563,5.574581,3.4389296,4.497095,2
14.207095,5.874388,5.592738,6.6905193,1.7991465,2.8534634,5.979086,6.1916695,4.7571144,4.3990026,5.9265404,5.0223756,3.4654434,4.7529316,3.6896875,4.1562867,5.364926,5.0300035,5.6229625,5.1974397,6.0007586,7.0011106,7.322734,4.2977777,5.832791,1.6186843,5.9686594,3.906908,3.7170699,0
13.97751,5.823201,5.5493517,6.7453094,1.8059553,2.8101668,6.0464344,6.2225237,4.7367206,4.444478,5.8663983,4.997005,3.4493651,4.8081694,3.7478058,4.1891704,5.3733435,4.9958043,5.664695,5.1741223,5.956218,6.977565,7.3291078,4.2840543,5.783753,1.5936371,5.9488516,3.8680196,3.6606514,1
11.128619,6.21447,4.4519544,6.3268433,3.014137,2.8704662,6.9530077,6.814703,6.0504813,5.0348544,4.8681617,6.108151,3.835771,5.8467045,4.310256,3.7080479,6.291341,4.879453,6.0652294,5.1200633,5.6449957,6.0302863,6.9195595,4.4510074,5.3907447,3.0167098,5.949204,3.1148825,3.4679306,2
2.1963978,4.717728,5.363063,7.9842157,3.7633069,3.1778805,5.429594,5.6568995,5.6745014,4.0449286,3.662119,5.528947,3.746397,3.7898383,4.55194,3.181814,6.5792985,4.690756,4.6277976,5.847369,6.67855,4.9396234,5.931528,4.2431526,4.0216703,3.4100385,5.462918,2.9608521,4.921795,0
1.748667,4.6104684,5.345629,7.8504105,3.7305517,2.9442859,5.320481,5.705909,5.6122236,4.038357,3.6551294,5.5919914,3.841229,3.5775728,4.528747,3.0250294,6.6405168,4.5453577,4.5163646,6.0515127,6.772491,5.0078597,6.0330048,4.2892356,4.0330095,3.391419,5.408667,2.7548087,5.0759807,1
4.155237,5.031355,5.331905,7.84314,3.7361684,3.7541559,6.051055,5.694625,5.6616664,4.191766,3.957179,5.4686656,3.601159,4.621824,4.355595,3.6470423,5.8727884,5.1916323,5.062343,5.1984944,6.4155073,4.833728,5.838564,4.1252365,4.325804,3.2946472,5.5892925,3.4386446,4.4977293,2
11.283964,5.913595,4.644673,6.5656714,2.7623768,3.056778,6.81358,6.453091,5.764042,4.866015,5.060251,5.805976,3.722604,5.649447,4.1952124,3.9034822,6.0777946,4.964315,5.7986283,5.049205,5.627434,6.2424994,6.9354095,4.2975793,5.3907194,2.6419835,5.8123326,3.3314521,3.5416994,0
14.498924,5.802972,5.610233,6.565184,1.7691852,3.1021411,5.8660793,6.0005302,4.7126145,4.368126,6.079291,5.020675,3.4839234,4.681472,3.6000607,4.225533,5.3484926,5.204359,5.471055,5.1177883,5.9674325,7.105346,7.3106246,4.189233,5.8873787,1.5351064,5.8656693,4.075224,3.8598058,1
11.306155,6.3177547,4.413755,6.2051473,3.0684094,2.864712,6.980684,6.8946424,6.1192327,5.0722375,4.843229,6.1785994,3.8662088,5.904616,4.307679,3.656044,6.3543887,4.8919888,6.135849,5.114895,5.667613,6.0069947,6.9456854,4.4896774,5.399919,3.077081,5.9835777,3.0923274,3.4768105,2
2.6934469,4.9327416,5.291047,8.127008,3.6276891,3.5066955,5.6391125,5.644837,5.798154,4.2996325,3.8477108,5.5181756,3.5777745,4.1094627,4.736217,3.4012117,6.831121,4.6176105,4.8691893,5.618239,6.4481006,4.917062,5.8761306,4.4708796,3.925346,3.4965987,5.6487293,3.2166076,4.812435,0
1.6359048,4.6429844,5.325727,7.8936,3.7228227,2.9513774,5.310726,5.6835756,5.62331,4.077906,3.6875494,5.5931587,3.829538,3.561859,4.5821977,3.0357597,6.727856,4.497266,4.534125,6.0600586,6.7543364,5.0056367,6.017829,4.3412223,4.008139,3.433178,5.4298143,2.7644334,5.0721073,1
3.9879565,5.0210385,5.3300805,7.8174877,3.7333415,3.7357492,5.9854074,5.6356926,5.5836062,4.1087666,3.9531221,5.3955855,3.6151364,4.5480514,4.312984,3.6064875,5.828861,5.196637,4.998447,5.2443557,6.4187975,4.8306127,5.830067,4.0692434,4.3146877,3.3160172,5.5782766,3.4313438,4.5097733,2
14.298238,5.838728,5.605645,6.655522,1.7716376,2.9312856,5.937485,6.132636,4.716661,4.3997293,5.973169,5.0017304,3.4656458,4.722573,3.6676838,4.18701,5.348919,5.0830197,5.5944824,5.1661596,5.992868,7.032991,7.3386517,4.26733,5.8440633,1.569804,5.9350843,3.956559,3.752825,0
13.742248,5.7884374,5.4697275,6.793589,1.8696969,2.7971768,6.1431017,6.242287,4.7933316,4.4859834,5.789916,5.0267487,3.4494252,4.898083,3.8034058,4.19684,5.4194016,4.966118,5.6714687,5.1550574,5.897596,6.934033,7.296102,4.262523,5.7309113,1.6343842,5.920558,3.8247194,3.6117105,1
