0,1,2,3,4,5,6,7,8,9,10,active_hand
3.365688,16.790277,5.020927,4.4164944,5.56697,4.550264,5.4134717,5.445061,4.7935767,3.307879,4.7288623,0
11.515009,4.7823215,4.2839613,2.8559585,6.575388,3.8024204,4.3243747,3.9594493,-1.8742172,2.7807763,14.53493,1
3.366298,16.785744,5.021449,4.4161134,5.566364,4.5495996,5.412599,5.4461474,4.7929273,3.308244,4.730027,0
11.559779,4.7974596,4.3395867,2.8010657,6.572091,3.8308308,4.361772,4.010929,-1.814848,2.8282652,14.483522,1
3.3601263,16.782671,5.0296206,4.4225473,5.572274,4.555689,5.4177165,5.440797,4.798804,3.3031914,4.724533,0
11.495781,4.758023,4.287439,2.8508003,6.548365,3.787041,4.315563,3.9714828,-1.8731974,2.7626956,14.548028,1
3.4105248,16.824621,4.972274,4.3709087,5.5222807,4.5053215,5.3707323,5.488593,4.7489843,3.349745,4.7725806,0
11.531403,4.8028,4.2811055,2.8637948,6.59944,3.8128872,4.33175,3.9455671,-1.8778669,2.797471,14.522901,1
3.3749986,16.794266,5.0125513,4.407297,5.5575337,4.54087,5.403994,5.454775,4.784106,3.3167355,4.7385807,0
11.512392,4.7776628,4.284431,2.855696,6.5703645,3.7984338,4.322341,3.9619293,-1.8735781,2.779126,14.5356245,1
3.3750985,16.789333,5.011294,4.407396,5.5578113,4.54101,5.404711,5.4542203,4.7843857,3.3160467,4.7381506,0
13.7822695,3.887358,5.023031,-0.25976688,7.860488,2.805491,6.8262315,3.5120993,8.041168,0.772007,7.534128,1
3.3300107,16.756235,5.066868,4.4550557,5.60317,4.586743,5.4469905,5.411506,4.8296247,3.2743397,4.6953063,0
13.78879,3.8802009,5.033682,-0.25313798,7.8510423,2.8031657,6.816264,3.4998062,8.038467,0.78334665,7.522455,1
3.3130863,16.735653,5.082976,4.471624,5.6196933,4.6032543,5.463625,5.3947935,4.8461275,3.2575395,4.6786427,0
13.782811,3.8879483,5.0265746,-0.26067448,7.8581886,2.8071465,6.825087,3.5077548,8.043865,0.7742392,7.5319,1
3.3864622,16.796543,4.9924736,4.394887,5.5470557,4.530187,5.3965187,5.463053,4.7738075,3.323988,4.746974,0
13.784559,3.8838444,5.0248985,-0.25642517,7.8591814,2.8031697,6.8210526,3.5097382,8.034818,0.77777517,7.528643,1
3.3992794,16.805647,4.9725895,4.381229,5.5352345,4.518362,5.3872814,5.4729924,4.7621856,3.3330662,4.756857,0
13.786709,3.880188,5.0232997,-0.2519115,7.8613997,2.7989848,6.816251,3.5060637,8.031058,0.7850148,7.518293,1
3.3594692,16.777515,5.0320015,4.4241395,5.5735016,4.556866,5.4191923,5.4395943,4.8000197,3.3018076,4.7234783,0
13.765862,3.9042258,5.0057354,-0.27685562,7.879402,2.8158317,6.842917,3.5283792,8.058283,0.75322974,7.552726,1
3.332501,16.754976,5.061239,4.4515066,5.600163,4.5834575,5.444734,5.4138317,4.826621,3.276408,4.6978254,0
13.768039,3.9225826,5.016377,-0.2912228,7.865759,2.8304436,6.873908,3.536625,8.081139,0.73212165,7.5749764,1
3.3637776,16.751024,5.030842,4.420588,5.5690355,4.5524535,5.4136777,5.4449396,4.795489,3.30743,4.728887,0
13.743416,3.9599588,5.0177507,-0.32701287,7.8641806,2.8631775,6.913335,3.5406475,8.118867,0.7094152,7.588896,1
13.778194,3.9268909,5.0349307,-0.29702798,7.85092,2.8386266,6.867647,3.5083432,8.0877695,0.7614523,7.5434523,1
3.3293817,16.755692,5.0681944,4.4557314,5.6037545,4.5873623,5.447051,5.411298,4.8302,3.2743297,4.6950035,0
3.32352,16.751112,5.075389,4.4618626,5.609571,4.5931845,5.4523954,5.4058414,4.8359814,3.2690794,4.689539,0
13.773493,3.9214754,5.025648,-0.29099438,7.8579345,2.8317091,6.8681345,3.5242617,8.08152,0.7447851,7.5610332,1
